"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"74","185.22234556632264","105.2609400068561","5.115314033144931","-0.3046844338650276","0.019199999999999995","0.021399999999999975","0.017","4000","0.0003124256630971932","0","0.0003124256630971932","0.0003124256630971932","74_89:0.012442028292609791","74_89:660","true"
"75","150.4540099948609","24.959452288056738","5.129228714629265","-0.3045138618524563","0.012299999999999978","0.016000000000000014","0.0086","4000","0.0003388396968913311","0","0.0003388396968913311","0.0003388396968913311","75_90:0.019012296056385963;75_76:0.011239053786264608","75_90:660;75_76:660","true"
"76","182.61104777481202","133.92853627992062","5.001386766700932","-0.30760571635663536","0.05669999999999997","0.04820000000000002","0.0652","4000","0.0006486566408771043","0","0.0006486566408771043","0.0006486566408771043","76_77:0.011588406029554021","76_77:660","true"
"77","299.76495599332077","16.843378177273415","4.942054647449024","-0.3091917951227223","0.045600000000000085","0.0482","0.04300000000000004","4000","0.00038758434298151966","0","0.00038758434298151966","0.00038758434298151966","77_78:0.024675915311486607","77_78:660","true"
"78","182.27838341885388","23.77557549252757","4.81946911536936","-0.30987613542014186","0.03959999999999997","0.04579999999999995","0.0334","4000","0.001034368763485152","0","0.001034368763485152","0.001034368763485152","78_79:0.017979374744640675","78_79:660","true"
"79","192.67062952859743","16.46384546369852","4.926362853584277","-0.3086275788109418","0.024399999999999977","0.027000000000000024","0.0218","4000","0.00023118333033992166","0","0.00023118333033992166","0.00023118333033992166","","","true"
"80","139.60615011927413","137.2692595741796","4.992246419814803","-0.30771944430364806","0.019199999999999995","0.02080000000000004","0.0176","4000","0.00029789003693732883","0","0.00029789003693732883","0.00029789003693732883","80_81:0.009279616332947799;80_79:0.009675945867018226","80_81:660;80_79:660","true"
"81","175.7609306736944","178.82301343871245","5.153435385555018","-0.3050642928746577","0.03289999999999993","0.0356","0.030200000000000005","4000","0.0001850087515671236","0","0.0001850087515671236","0.0001850087515671236","81_82:0.011103635717924304","81_82:660","true"
"82","80.23541611953686","112.70972167769781","5.204849530939771","-0.30455351980495227","0.02849999999999997","0.05120000000000002","0.0058","4000","0.001951126242112548","0","0.001951126242112548","0.001951126242112548","82_83:0.02378507277917044","82_83:660","true"
"83","203.5183998540198","136.51636069089201","5.102698428942088","-0.3062977471599376","0.04190000000000005","0.04079999999999995","0.043","4000","0.0005866104682917252","0","0.0005866104682917252","0.0005866104682917252","83_84:0.014066502509799295","83_84:660","true"
"84","168.14799083540618","156.02933197799123","5.050137522408627","-0.3051089963906093","0.06430000000000002","0.06699999999999995","0.0616","4000","0.00018056474845612135","0","0.00018056474845612135","0.00018056474845612135","","","true"
"85","207.1980655696883","91.82332213007028","5.099884986471364","-0.3056384067163472","0.04833333333333334","0.03","0.06666666666666665","4000","0.0007810228370915678","0","0.0007810228370915678","0.0007810228370915678","85_84:0.016573924288859704;85_86:1","85_84:660;85_86:660","true"
"86","75.61785012241887","41.061719560150166","5.202164993041476","-0.3030240253013421","0.1166666666666667","0.19999999999999996","0.03333333333333333","4000","0.04734298628448696","0","0.04734298628448696","0.04734298628448696","86_87:0.17005218955176118","86_87:660","true"
"87","129.47828468630735","19.61923395663589","5.283785560794226","0","0.020100000000000007","0.0232","0.017","4000","0.0004375753724386116","0","0.0004375753724386116","0.0004375753724386116","87_88:0.011082526227643691","87_88:660","true"
"88","125.21277925172186","80.73963152424814","5.179362154943874","-0.3039739472445793","0.006800000000000028","0.009600000000000053","0.004","4000","0.00046293879370456266","0","0.00046293879370456266","0.00046293879370456266","88_89:0.014313033563056604","88_89:660","true"
"89","40.925202857683196","43.67823897129599","5.066952005897755","-0.3052598006575995","0.006800000000000028","0.0058","0.007800000000000029","4000","0.0005992095844269506","0","0.0005992095844269506","0.0005992095844269506","","","true"
"90","131.27392073579554","37.07544872817637","4.981088448511094","-0.3093910632029549","0.021700000000000053","0.0186","0.024800000000000044","4000","0.0003523750677626437","0","0.0003523750677626437","0.0003523750677626437","","","true"
"91","365.22403665924384","290.374846354404","5.038270485037699","-0.3068760832887368","0.02529999999999999","0.024399999999999977","0.0262","4000","0.00019431600913444875","0","0.00019431600913444875","0.00019431600913444875","91_79:0.005677984660032276;91_98:0.004942354846760255","91_79:660;91_98:660","true"
"92","110.44265700158749","47.19716575839059","4.952063843162917","-0.3070894076559803","0.015499999999999958","0.014599999999999946","0.0164","4000","0.0003598857097106151","0","0.0003598857097106151","0.0003598857097106151","92_102:0.009961224951057251;92_83:0.03582090662214163","92_102:660;92_83:660","true"
"93","253.22530718072414","44.146083360872616","5.066384496325197","-0.3053081213992965","0.013700000000000045","0.0174","0.010000000000000009","4000","0.0009048087529746176","0","0.0009048087529746176","0.0009048087529746176","93_106:0.014234905781843471;93_87:0.015044495870703223","93_106:660;93_87:660","true"
"94","166.49135435205696","141.6535986214785","5.092906638394791","-0.30542373424889097","0.03479999999999994","0.036","0.03359999999999996","4000","0.00038416663137115037","0","0.00038416663137115037","0.00038416663137115037","94_90:0.009424881856448658","94_90:660","true"
"95","200.8433586626031","44.18737190434285","5.124809349407352","-0.30570097159029036","0.03159999999999996","0.0336","0.02959999999999996","4000","0.00033237821829536614","0","0.00033237821829536614","0.00033237821829536614","95_94:0.014162745733765053","95_94:660","true"
"96","183.0396245684377","161.65955941505956","5.026384886328471","-0.3059864366337545","0.013800000000000034","0.0166","0.01100000000000001","4000","0.0003014163777540593","0","0.0003014163777540593","0.0003014163777540593","96_97:0.0051022744986775614;96_95:0.010486463698429788","96_97:660;96_95:660","true"
"97","365.6716409817522","117.82340505306334","4.934487802701894","-0.3079947229270932","0.007000000000000006","0.008199999999999985","0.0058","4000","0.00019116185443444634","0","0.00019116185443444634","0.00019116185443444634","97_98:0.00492336324900336","97_98:660","true"
"98","333.2522946954434","201.2101164613061","4.852982932485275","-0.3093731372216762","0.05410000000000004","0.0514","0.0568","4000","0.0002551835158492216","0","0.0002551835158492216","0.0002551835158492216","","","true"
"99","185.4722048548747","156.6650831145426","5.108082644767737","-0.3045550357198442","0.053200000000000025","0.04420000000000002","0.0622","4000","0.00033214219327285107","0","0.00033214219327285107","0.00033214219327285107","99_98:0.009206929728665908","99_98:660","true"
"100","147.61596234861818","147.8936478720802","5.203738156162154","-0.30393447947654817","0.04760000000000009","0.050000000000000044","0.0452","4000","0.00036326086713858697","0","0.00036326086713858697","0.00036326086713858697","100_110:0.007585815455897232;100_99:0.00895396874108531","100_110:660;100_99:660","true"
"101","128.517007758668","171.25206700408535","5.171357269737984","-0.3042014262895929","0.01760000000000006","0.01980000000000004","0.0154","4000","0.00033960214757942556","0","0.00033960214757942556","0.00033960214757942556","101_100:0.013257723577283137","101_100:660","true"
"102","229.25868111254692","114.72671945075041","5.081722056665909","-0.3059272544655712","0.007000000000000006","0.007399999999999962","0.0066","4000","0.00026985455881628755","0","0.00026985455881628755","0.00026985455881628755","102_101:0.009215755656928781","102_101:660","true"
"103","248.2640806553808","180.34777661779998","5.205277690617396","-0.3032222604855203","0.011099999999999999","0.012399999999999967","0.0098","4000","0.0001810969012671189","0","0.0001810969012671189","0.0001810969012671189","103_102:0.005363173577070612;103_104:0.00851075834892806","103_102:660;103_104:660","true"
"104","171.33150365309692","13.331331521438791","5.132680267223537","-0.30503087043802185","0.0039000000000000146","0.005199999999999982","0.0026","4000","0.0003754746322832583","0","0.0003754746322832583","0.0003754746322832583","104_111:0.01093803446003308;104_105:0.012628644862053673","104_111:660;104_105:660","true"
"105","195.31648625283634","234.23902678087404","5.279451009132876","-0.30293172962468023","0.009099999999999997","0.006199999999999983","0.012","4000","0.0005560695156325965","0","0.0005560695156325965","0.0005560695156325965","105_106:0.019719021390176422","105_106:660","true"
"106","105.26756193434746","117.53832743148357","5.152517467669727","-0.3049832353470426","0.010000000000000009","0.0114","0.008600000000000052","4000","0.00034136487413868985","0","0.00034136487413868985","0.00034136487413868985","","","true"
"107","120.27658935129098","146.70792971918206","5.347233737576906","-0.3003099103462095","0.07150000000000001","0.06340000000000001","0.0796","4000","0.00045502401945860926","0","0.00045502401945860926","0.00045502401945860926","107_106:0.012511812072875772;107_108:0.1770104374235825","107_106:660;107_108:660","true"
"108","112.72229592264273","112.02980676785195","5.069851626031842","-0.30689356746249064","0.059799999999999964","0.07399999999999995","0.0456","4000","0.0005999460438489908","0","0.0005999460438489908","0.0005999460438489908","","","true"
"109","144.27510017854823","157.68714199686244","5.096667570773039","-0.30463522471929844","0.02949999999999997","0.02739999999999998","0.0316","4000","0.00019422089588927826","0","0.00019422089588927826","0.00019422089588927826","109_96:0.006335534839624901","109_96:660","true"
"110","146.13157693381018","139.1155153553793","5.273695338910122","-0.302010718369919","0.009700000000000042","0.0124","0.007000000000000006","4000","0.0002606493479913987","0","0.0002606493479913987","0.0002606493479913987","","","true"
"111","78.49920568511394","118.07471803025825","5.358431094583081","-0.3020396886067783","0.013900000000000023","0.0108","0.017000000000000015","4000","0.0004088290107861209","0","0.0004088290107861209","0.0004088290107861209","111_122:0.013182722460437557","111_122:660","true"
